x,y,elevation,label
318346.2312,77950.45201,67.461212,land
318347.2314,77950.45201,67.474335,land
318348.2317,77950.45201,67.501564,land
318349.232,77950.45201,67.424271,land
318350.2322,77950.45201,67.34285,land
318351.2325,77950.45201,67.288643,land
318352.2328,77950.45201,67.333099,land
318353.233,77950.45201,67.415863,land
318354.2333,77950.45201,67.526451,land
318355.2336,77950.45201,67.416321,land
318356.2338,77950.45201,67.212433,land
318357.2341,77950.45201,67.152092,land
318358.2343,77950.45201,67.148666,land
318359.2346,77950.45201,67.169426,land
318360.2349,77950.45201,67.370628,land
318361.2351,77950.45201,67.721954,land
318362.2354,77950.45201,68.034203,land
318363.2357,77950.45201,68.544861,land
318364.2359,77950.45201,69.128281,land
318365.2362,77950.45201,69.963509,land
318366.2364,77950.45201,71.097466,land
318367.2367,77950.45201,71.664955,land
318368.237,77950.45201,71.920319,land
318369.2372,77950.45201,72.092972,land
318370.2375,77950.45201,72.177689,land
318371.2378,77950.45201,72.294144,land
318372.238,77950.45201,72.431274,land
318373.2383,77950.45201,72.492584,land
318374.2386,77950.45201,72.593323,land
318375.2388,77950.45201,72.619339,land
318376.2391,77950.45201,72.618073,land
318377.2393,77950.45201,72.689056,land
318378.2396,77950.45201,72.808853,land
318379.2399,77950.45201,72.840652,land
318380.2401,77950.45201,72.92318,land
318381.2404,77950.45201,73.015259,land
318382.2407,77950.45201,73.013199,land
318383.2409,77950.45201,72.968727,land
318384.2412,77950.45201,73.092865,land
318385.2415,77950.45201,73.222878,land
318386.2417,77950.45201,73.309723,land
318387.242,77950.45201,73.342018,land
318388.2422,77950.45201,73.448738,land
318389.2425,77950.45201,73.494209,land
